,token,Total0,Total1,Total2,Total3
643,ear,0.0,0.0,24.0,0.0
644,earling,0.0,0.0,130.0,0.0
645,early,0.0,0.0,16.0,0.0
646,earrings,1.0,0.0,0.0,1.0
647,ease,15.0,0.0,0.0,15.0
648,easily,1.0,0.0,1.0,1.0
649,easy,1.0,0.0,0.0,1.0
650,eatoaffiliatemap,1.0,0.0,0.0,1.0
651,ecard,3.0,0.0,0.0,3.0
652,ecardmessage,1.0,0.0,0.0,1.0
653,ecards,1.0,0.0,0.0,1.0
654,ecardsection,1.0,0.0,0.0,1.0
655,ecardupdate,1.0,0.0,0.0,1.0
656,ecardvalidation,1.0,0.0,0.0,1.0
657,echoes,2.0,0.0,0.0,2.0
658,edit,1.0,0.0,0.0,1.0
659,editor,1.0,0.0,0.0,1.0
660,educate,1.0,0.0,0.0,1.0
661,education,5.0,0.0,0.0,5.0
662,educators,6.0,0.0,0.0,6.0
663,effect,0.0,0.0,1.0,0.0
664,effective,5.0,0.0,16.0,5.0
665,effectiveness,2.0,0.0,0.0,2.0
666,ein,2.0,0.0,0.0,2.0
667,either,1.0,0.0,0.0,1.0
668,ejaculating,2.0,0.0,0.0,2.0
669,elected,2.0,0.0,0.0,2.0
670,elections,4.0,0.0,0.0,4.0
671,elegir,1.0,0.0,0.0,1.0
672,element,1.0,0.0,0.0,1.0
673,elementorfrontendconfig,0.0,0.0,50.0,0.0
674,elements,1.0,0.0,0.0,1.0
675,eleven,0.0,0.0,25.0,0.0
676,eligible,1.0,0.0,0.0,1.0
677,eliminated,1.0,0.0,0.0,1.0
678,elk,0.0,0.0,130.0,0.0
679,elliott,0.0,0.0,130.0,0.0
680,elmo,0.0,0.0,130.0,0.0
681,elmwood,0.0,0.0,142.0,0.0
682,else,78.0,0.0,1.0,78.0
683,email,27.0,0.0,300.0,27.0
684,emailerrormsg,1.0,0.0,0.0,1.0
685,emailfield,1.0,0.0,0.0,1.0
686,emailinfo,2.0,0.0,0.0,2.0
687,emailreq,1.0,0.0,0.0,1.0
688,emails,1.0,0.0,0.0,1.0
689,emailtoggle,1.0,0.0,0.0,1.0
690,embed,1.0,0.0,0.0,1.0
691,emergencia,2.0,0.0,0.0,2.0
692,emergency,7.0,0.0,1.0,7.0
693,emerson,0.0,0.0,130.0,0.0
694,emotional,0.0,0.0,1.0,0.0
695,empty,7.0,0.0,0.0,7.0
696,enable,3.0,0.0,0.0,3.0
697,enabled,2.0,0.0,0.0,2.0
698,encodedtweet,2.0,0.0,0.0,2.0
699,encontrar,1.0,0.0,0.0,1.0
700,encourage,0.0,0.0,1.0,0.0
701,end,6.0,0.0,33.0,6.0
702,ending,0.0,0.0,1.0,0.0
703,endorse,1.0,0.0,0.0,1.0
704,engagement,7.0,0.0,0.0,7.0
705,england,7.0,0.0,0.0,7.0
706,enough,1.0,0.0,0.0,1.0
707,enroll,1.0,0.0,0.0,1.0
708,enrollment,2.0,0.0,0.0,2.0
709,ensure,2.0,0.0,3.0,2.0
710,enter,12.0,0.0,50.0,12.0
711,entering,0.0,0.0,1.0,0.0
712,equity,3.0,0.0,0.0,3.0
713,error,27.0,0.0,0.0,27.0
714,error',1.0,0.0,0.0,1.0
715,errorcheck,4.0,0.0,0.0,4.0
716,español,9.0,0.0,1.0,9.0
717,essex,0.0,0.0,146.0,0.0
718,está,0.0,0.0,1.0,0.0
719,estás,1.0,0.0,0.0,1.0
720,eur,2.0,0.0,0.0,2.0
721,euro,2.0,0.0,0.0,2.0
722,even,1.0,0.0,0.0,1.0
723,event,5.0,0.0,15.0,5.0
724,events,3.0,0.0,0.0,3.0
725,evergreen,1.0,0.0,0.0,1.0
726,every,4.0,0.0,54.0,4.0
727,everyaction,1.0,0.0,0.0,1.0
728,everyone,2.0,0.0,0.0,2.0
729,everything,1.0,0.0,0.0,1.0
730,evp,5.0,0.0,0.0,5.0
731,exam,1.0,0.0,0.0,1.0
732,excellence,0.0,0.0,115.0,0.0
733,except,4.0,0.0,0.0,4.0
734,excepted,1.0,0.0,0.0,1.0
735,exchanges,1.0,0.0,0.0,1.0
736,excluded,2.0,0.0,0.0,2.0
737,exclusive,1.0,0.0,0.0,1.0
738,exira,0.0,0.0,130.0,0.0
739,existing,2.0,0.0,0.0,2.0
740,exists,4.0,0.0,0.0,4.0
741,expanded,1.0,0.0,0.0,1.0
742,expansion,1.0,0.0,0.0,1.0
743,expected,1.0,0.0,0.0,1.0
744,expel,0.0,0.0,46.0,0.0
745,experience,2.0,0.0,28.0,2.0
746,experienced,1.0,0.0,0.0,1.0
747,experiences,0.0,0.0,25.0,0.0
748,expert,4.0,0.0,0.0,4.0
749,experts,5.0,0.0,0.0,5.0
750,expiresess,1.0,0.0,0.0,1.0
751,explicitly,1.0,0.0,0.0,1.0
752,explore,1.0,0.0,0.0,1.0
753,explosion,1.0,0.0,0.0,1.0
754,express,0.0,0.0,252.0,0.0
755,extent,8.0,0.0,0.0,8.0
756,extra,0.0,0.0,25.0,0.0
757,facebook,4.0,0.0,139.0,4.0
758,facebookenglish,1.0,0.0,0.0,1.0
759,facebookyou,1.0,0.0,0.0,1.0
760,facts,4.0,0.0,1.0,4.0
761,fadein,4.0,0.0,0.0,4.0
762,fadeout,4.0,0.0,0.0,4.0
763,fail,1.0,0.0,0.0,1.0
764,failed,1.0,0.0,0.0,1.0
765,fair,1.0,0.0,0.0,1.0
766,faith,0.0,0.0,1.0,0.0
767,fake,1.0,0.0,0.0,1.0
768,false,1.0,0.0,0.0,1.0
769,family,1.0,0.0,26.0,1.0
770,faq,2.0,0.0,300.0,2.0
771,far,0.0,0.0,8.0,0.0
772,farragut,0.0,0.0,130.0,0.0
773,fast,1.0,0.0,0.0,1.0
774,faster,0.0,0.0,15.0,0.0
775,fda,0.0,0.0,25.0,0.0
776,featured,1.0,0.0,0.0,1.0
777,features,0.0,0.0,2.0,0.0
778,featuresnfl,1.0,0.0,0.0,1.0
779,featuring,2.0,0.0,0.0,2.0
780,federal,8.0,0.0,0.0,8.0
781,federation,13.0,0.0,1.0,13.0
782,fee,1.0,0.0,0.0,1.0
783,feel,3.0,0.0,0.0,3.0
784,fees,1.0,0.0,0.0,1.0
785,female,2.0,0.0,0.0,2.0
786,feminism,1.0,0.0,0.0,1.0
787,feminist,1.0,0.0,0.0,1.0
788,fetal,0.0,0.0,414.0,0.0
789,fever,1.0,0.0,0.0,1.0
790,few,0.0,0.0,15.0,0.0
791,field,22.0,0.0,0.0,22.0
792,fields,4.0,0.0,0.0,4.0
793,fight,4.0,0.0,0.0,4.0
794,figures,2.0,0.0,0.0,2.0
795,file,3.0,0.0,0.0,3.0
796,files,1.0,0.0,0.0,1.0
797,fill,10.0,0.0,0.0,10.0
798,filter,4.0,0.0,0.0,4.0
799,financehybridoffice,1.0,0.0,0.0,1.0
800,financial,7.0,0.0,1.0,7.0
801,find,32.0,0.0,1.0,32.0
802,finding,4.0,0.0,0.0,4.0
803,fire,2.0,0.0,0.0,2.0
804,first,16.0,0.0,373.0,16.0
805,firstname,1.0,0.0,0.0,1.0
806,firstnameerror,1.0,0.0,0.0,1.0
807,firstnamefield,1.0,0.0,0.0,1.0
808,firth,0.0,0.0,146.0,0.0
809,fits,1.0,0.0,0.0,1.0
810,fix,4.0,0.0,0.0,4.0
811,fjs,4.0,0.0,0.0,4.0
812,float,1.0,0.0,0.0,1.0
813,focus,4.0,0.0,0.0,4.0
814,follow,28.0,0.0,2.0,28.0
815,following,6.0,0.0,16.0,6.0
816,font,2.0,0.0,0.0,2.0
817,footprints,0.0,0.0,1.0,0.0
818,forfeiture,0.0,0.0,1.0,0.0
819,form,22.0,0.0,15.0,22.0
820,format,7.0,0.0,0.0,7.0
821,formed,1.0,0.0,0.0,1.0
822,formelements,1.0,0.0,0.0,1.0
823,formnever,1.0,0.0,0.0,1.0
824,forms,9.0,0.0,0.0,9.0
825,formurl,1.0,0.0,0.0,1.0
826,fort,0.0,0.0,130.0,0.0
827,forth,0.0,0.0,1.0,0.0
828,forward,1.0,0.0,0.0,1.0
829,found,1.0,0.0,16.0,1.0
830,founded,1.0,0.0,25.0,1.0
831,foundoptionvalue,1.0,0.0,0.0,1.0
832,four,0.0,0.0,15.0,0.0
833,frame,2.0,0.0,0.0,2.0
834,free,4.0,0.0,24.0,4.0
835,fremont,0.0,0.0,130.0,0.0
836,french,0.0,0.0,25.0,0.0
837,frequency,4.0,0.0,0.0,4.0
838,frequently,4.0,0.0,0.0,4.0
839,fri,1.0,0.0,0.0,1.0
840,friday,2.0,0.0,0.0,2.0
841,friend,1.0,0.0,0.0,1.0
842,front,0.0,0.0,1.0,0.0
843,full,6.0,0.0,0.0,6.0
844,fullest,8.0,0.0,0.0,8.0
845,fullstory,2.0,0.0,0.0,2.0
846,function,39.0,0.0,450.0,39.0
847,functionality,0.0,0.0,1.0,0.0
848,functions,1.0,0.0,0.0,1.0
849,fund,5.0,0.0,0.0,5.0
850,funding,2.0,0.0,0.0,2.0
851,funds,0.0,0.0,2.0,0.0
852,funeral,0.0,0.0,1.0,0.0
853,funtion,1.0,0.0,0.0,1.0
854,further,3.0,0.0,1.0,3.0
855,future,4.0,0.0,2.0,4.0
856,gaallowlinker,1.0,0.0,0.0,1.0
857,gaclientid,1.0,0.0,0.0,1.0
858,gacode,1.0,0.0,0.0,1.0
859,geha,1.0,0.0,0.0,1.0
860,gender,4.0,0.0,0.0,4.0
861,general,11.0,0.0,0.0,11.0
862,generation,1.0,0.0,0.0,1.0
863,generic,2.0,0.0,0.0,2.0
864,georgetown,0.0,0.0,50.0,0.0
865,get,61.0,0.0,53.0,61.0
866,getcookie,1.0,0.0,0.0,1.0
867,geturlvars,1.0,0.0,0.0,1.0
868,gift,20.0,0.0,0.0,20.0
869,giftsection,1.0,0.0,0.0,1.0
870,give,10.0,0.0,0.0,10.0
871,given,0.0,0.0,32.0,0.0
872,gives,1.0,0.0,0.0,1.0
873,giving,1.0,0.0,1.0,1.0
874,glad,1.0,0.0,0.0,1.0
875,glenwood,0.0,0.0,130.0,0.0
876,global,2.0,0.0,0.0,2.0
877,glossary,5.0,0.0,0.0,5.0
878,goes,2.0,0.0,0.0,2.0
879,gone,2.0,0.0,0.0,2.0
880,good,3.0,0.0,0.0,3.0
881,goods,2.0,0.0,0.0,2.0
882,google,8.0,0.0,0.0,8.0
883,got,2.0,0.0,0.0,2.0
884,gov,2.0,0.0,0.0,2.0
885,govcheck,1.0,0.0,0.0,1.0
886,governed,0.0,0.0,1.0,0.0
887,government,1.0,0.0,0.0,1.0
888,goverrormsg,1.0,0.0,0.0,1.0
889,grab,6.0,0.0,0.0,6.0
890,grabs,6.0,0.0,0.0,6.0
891,grant,0.0,0.0,130.0,0.0
892,grants,1.0,0.0,1.0,1.0
893,gratitude,2.0,0.0,0.0,2.0
894,gray,0.0,0.0,130.0,0.0
895,great,12.0,0.0,1.0,12.0
896,greater,3.0,0.0,0.0,3.0
897,greenwood,0.0,0.0,130.0,0.0
898,gretna,0.0,0.0,130.0,0.0
899,griswold,0.0,0.0,142.0,0.0
900,groups,2.0,0.0,0.0,2.0
901,growth,0.0,0.0,15.0,0.0
902,gtm,2.0,0.0,0.0,2.0
903,guaranteed,1.0,0.0,0.0,1.0
904,guardian,2.0,0.0,0.0,2.0
905,guardian's,2.0,0.0,0.0,2.0
906,guidance,0.0,0.0,1.0,0.0
907,guide,1.0,0.0,0.0,1.0
908,guidelines,1.0,0.0,1.0,1.0
909,gulf,3.0,0.0,0.0,3.0
910,gustas,0.0,0.0,1.0,0.0
911,gynecologist,1.0,0.0,0.0,1.0
912,gynecologists,1.0,0.0,0.0,1.0
913,gynecology,1.0,0.0,0.0,1.0
914,habla,0.0,0.0,1.0,0.0
915,hacer,0.0,0.0,1.0,0.0
916,had,0.0,0.0,1.0,0.0
917,hallam,0.0,0.0,130.0,0.0
918,hamburg,0.0,0.0,142.0,0.0
919,hancock,0.0,0.0,130.0,0.0
920,hand,0.0,0.0,1.0,0.0
921,handle,0.0,0.0,1.0,0.0
922,handler,3.0,0.0,0.0,3.0
923,happy,1.0,0.0,1.0,1.0
924,harlan,0.0,0.0,130.0,0.0
925,harmful,1.0,0.0,0.0,1.0
926,hash,1.0,0.0,0.0,1.0
927,hashes,1.0,0.0,0.0,1.0
928,hastings,0.0,0.0,130.0,0.0
929,hat,1.0,0.0,0.0,1.0
930,hate,1.0,0.0,0.0,1.0
931,have,39.0,0.0,45.0,39.0
932,haven't,1.0,0.0,0.0,1.0
933,having,1.0,0.0,16.0,1.0
934,head,1.0,0.0,0.0,1.0
935,headers,2.0,0.0,0.0,2.0
936,healing,0.0,0.0,1.0,0.0
937,health,105.0,0.0,337.0,105.0
938,healthcare,2.0,0.0,0.0,2.0
939,healthchoice,1.0,0.0,0.0,1.0
940,healthier,1.0,0.0,0.0,1.0
941,healthrelationships,1.0,0.0,0.0,1.0
942,healthsexual,1.0,0.0,0.0,1.0
943,healthy,2.0,0.0,0.0,2.0
944,hear,4.0,0.0,0.0,4.0
945,help,15.0,0.0,20.0,15.0
946,helpful,0.0,0.0,1.0,0.0
947,helping,1.0,0.0,1.0,1.0
948,helps,0.0,0.0,16.0,0.0
949,hence,1.0,0.0,0.0,1.0
950,henderson,0.0,0.0,130.0,0.0
951,henson,2.0,0.0,0.0,2.0
952,here,4.0,0.0,69.0,4.0
953,here’s,1.0,0.0,0.0,1.0
954,herman,0.0,0.0,130.0,0.0
955,hickman,0.0,0.0,130.0,0.0
956,hidden,2.0,0.0,0.0,2.0
957,hide,14.0,0.0,0.0,14.0
958,hidecomponentlist,2.0,0.0,0.0,2.0
959,hides,5.0,0.0,0.0,5.0
960,hiding,1.0,0.0,0.0,1.0
961,high,0.0,0.0,1.0,0.0
962,highest,1.0,0.0,1.0,1.0
963,hiv,5.0,0.0,0.0,5.0
964,holding,0.0,0.0,1.0,0.0
965,holes,2.0,0.0,0.0,2.0
966,hollow,8.0,0.0,0.0,8.0
967,home,9.0,0.0,317.0,9.0
968,homepage,4.0,0.0,0.0,4.0
969,honey,0.0,0.0,148.0,0.0
970,honoree,5.0,0.0,0.0,5.0
971,honoreecontainer,1.0,0.0,0.0,1.0
972,honoreeemail,1.0,0.0,0.0,1.0
973,honoreeerror,1.0,0.0,0.0,1.0
974,honoreefield,1.0,0.0,0.0,1.0
975,honortoggle,1.0,0.0,0.0,1.0
976,hoodie,2.0,0.0,0.0,2.0
977,hoodiesbaby,1.0,0.0,0.0,1.0
978,hooper,0.0,0.0,130.0,0.0
979,hora,1.0,0.0,0.0,1.0
980,horas,0.0,0.0,1.0,0.0
981,hormone,5.0,0.0,31.0,5.0
982,hormones,0.0,0.0,15.0,0.0
983,horn,0.0,0.0,130.0,0.0
984,hotfix,2.0,0.0,0.0,2.0
985,hour,1.0,0.0,60.0,1.0
986,hours,4.0,0.0,15.0,4.0
987,house,1.0,0.0,0.0,1.0
988,household,1.0,0.0,0.0,1.0
989,how,20.0,0.0,22.0,20.0
990,how…,0.0,0.0,2.0,0.0
991,human,1.0,0.0,0.0,1.0
992,humana,1.0,0.0,0.0,1.0
993,i'd,2.0,0.0,0.0,2.0
994,icon,1.0,0.0,0.0,1.0
995,idaho,3.0,0.0,0.0,3.0
996,identify,1.0,0.0,0.0,1.0
997,identity,4.0,0.0,0.0,4.0
998,ignore,2.0,0.0,1.0,2.0
999,iho,6.0,0.0,0.0,6.0
1000,ihocount,1.0,0.0,0.0,1.0
1001,illegal,0.0,0.0,50.0,0.0
1002,image,4.0,0.0,0.0,4.0
1003,img,9.0,0.0,0.0,9.0
1004,immediate,1.0,0.0,0.0,1.0
1005,immediately,0.0,0.0,1.0,0.0
1006,imo,5.0,0.0,0.0,5.0
1007,imocount,1.0,0.0,0.0,1.0
1008,imogene,0.0,0.0,130.0,0.0
1009,impact,7.0,0.0,0.0,7.0
1010,implant,2.0,0.0,0.0,2.0
1011,implants,1.0,0.0,0.0,1.0
1012,importance,0.0,0.0,1.0,0.0
1013,improve,6.0,0.0,0.0,6.0
1014,inappropriate,1.0,0.0,0.0,1.0
1015,include,3.0,0.0,0.0,3.0
1016,including,3.0,0.0,40.0,3.0
1017,incorporated,0.0,0.0,1.0,0.0
1018,incremental,1.0,0.0,0.0,1.0
1019,independence,1.0,0.0,0.0,1.0
1020,independent,4.0,0.0,0.0,4.0
1021,indication,0.0,0.0,170.0,0.0
1022,individual,0.0,0.0,25.0,0.0
1023,individuals,0.0,0.0,1.0,0.0
1024,infants,1.0,0.0,0.0,1.0
1025,infections,4.0,0.0,0.0,4.0
1026,infinite,15.0,0.0,0.0,15.0
1027,info,6.0,0.0,1.0,6.0
1028,infocon,1.0,0.0,0.0,1.0
1029,inforgot,1.0,0.0,0.0,1.0
1030,informarte,1.0,0.0,0.0,1.0
1031,information,21.0,0.0,4.0,21.0
1032,informational,1.0,0.0,0.0,1.0
1033,informed,1.0,0.0,0.0,1.0
1034,inherit,1.0,0.0,0.0,1.0
1035,init,1.0,0.0,0.0,1.0
1036,initialize,1.0,0.0,0.0,1.0
1037,initiative,1.0,0.0,0.0,1.0
1038,inline,0.0,0.0,50.0,0.0
1039,inmessengerfacebook,1.0,0.0,0.0,1.0
1040,input,3.0,0.0,0.0,3.0
1041,insert,1.0,0.0,0.0,1.0
1042,inset,4.0,0.0,50.0,4.0
1043,inside,1.0,0.0,0.0,1.0
1044,insights,3.0,0.0,0.0,3.0
1045,instagram,2.0,0.0,102.0,2.0
1046,instanceof,82.0,0.0,0.0,82.0
1047,instantly,1.0,0.0,0.0,1.0
1048,instead,1.0,0.0,0.0,1.0
1049,insurance,19.0,0.0,0.0,19.0
1050,integration,2.0,0.0,0.0,2.0
1051,intellectual,0.0,0.0,1.0,0.0
1052,intense,0.0,0.0,1.0,0.0
1053,internal,2.0,0.0,0.0,2.0
1054,international,0.0,0.0,1.0,0.0
1055,internet,3.0,0.0,0.0,3.0
1056,interpretation,2.0,0.0,0.0,2.0
1057,interpreter,2.0,0.0,0.0,2.0
1058,interpreters,2.0,0.0,0.0,2.0
1059,interrupt,1.0,0.0,0.0,1.0
1060,interval,1.0,0.0,0.0,1.0
1061,intervene,1.0,0.0,0.0,1.0
1062,into,4.0,0.0,0.0,4.0
1063,invalid,0.0,0.0,50.0,0.0
1064,involved,19.0,0.0,0.0,19.0
1065,inyección,2.0,0.0,0.0,2.0
1066,iowa,0.0,0.0,11666.0,0.0
1067,irs,2.0,0.0,0.0,2.0
1068,irwin,0.0,0.0,130.0,0.0
1069,island,0.0,0.0,13.0,0.0
1070,ismonthlygift,2.0,0.0,0.0,2.0
1071,isn't,2.0,0.0,0.0,2.0
1072,isprofane,1.0,0.0,0.0,1.0
1073,issues,6.0,0.0,1.0,6.0
1074,it's,5.0,0.0,0.0,5.0
1075,items,1.0,0.0,1.0,1.0
1076,iterate,2.0,0.0,0.0,2.0
1077,iteration,2.0,0.0,0.0,2.0
1078,ithaca,0.0,0.0,130.0,0.0
1079,it’s,0.0,0.0,2.0,0.0
1080,iud,3.0,0.0,0.0,3.0
1081,i’m,2.0,0.0,0.0,2.0
1082,january,1.0,0.0,0.0,1.0
1083,javascript,4.0,0.0,0.0,4.0
1084,jaw,0.0,0.0,15.0,0.0
1085,job,1.0,0.0,0.0,1.0
1086,jobs,6.0,0.0,0.0,6.0
1087,johnson,0.0,0.0,130.0,0.0
1088,join,3.0,0.0,0.0,3.0
1089,joined,1.0,0.0,0.0,1.0
1090,json,4.0,0.0,0.0,4.0
1091,julian,0.0,0.0,130.0,0.0
1092,junction,0.0,0.0,260.0,0.0
1093,june,1.0,0.0,0.0,0.0
1094,juneteenth,1.0,0.0,0.0,0.0
1095,just,8.0,0.0,1.0,8.0
1096,keep,6.0,0.0,29.0,6.0
1097,keeping,1.0,0.0,0.0,1.0
1098,keeps,2.0,0.0,0.0,2.0
1099,kennard,0.0,0.0,130.0,0.0
1100,kentucky,7.0,0.0,0.0,7.0
1101,kept,2.0,0.0,0.0,2.0
1102,key,3.0,0.0,50.0,3.0
1103,keypress,1.0,0.0,0.0,1.0
1104,keys,3.0,0.0,1.0,3.0
1105,keyvalue,0.0,0.0,300.0,0.0
1106,kimballton,0.0,0.0,142.0,0.0
1107,king,1.0,0.0,0.0,1.0
1108,kirkman,0.0,0.0,130.0,0.0
1109,know,11.0,0.0,1.0,11.0
1110,knowledge,1.0,0.0,0.0,1.0
1111,known,0.0,0.0,16.0,0.0
1112,label,102.0,0.0,0.0,102.0
1113,labels,1.0,0.0,0.0,1.0
1114,labor,2.0,0.0,0.0,2.0
1115,lacking,1.0,0.0,0.0,1.0
1116,lake,0.0,0.0,130.0,0.0
1117,landing,1.0,0.0,0.0,1.0
1118,lang,0.0,0.0,150.0,0.0
1119,language,7.0,0.0,0.0,7.0
1120,languagearabicchinese,0.0,0.0,150.0,0.0
1121,lapel,1.0,0.0,0.0,1.0
1122,largest,3.0,0.0,0.0,3.0
1123,las,2.0,0.0,1.0,2.0
1124,last,8.0,0.0,17.0,8.0
1125,lastnameerror,1.0,0.0,0.0,1.0
1126,lastnamefield,1.0,0.0,0.0,1.0
1127,late,0.0,0.0,85.0,0.0
1128,later,0.0,0.0,32.0,0.0
1129,latest,4.0,0.0,0.0,4.0
1130,latinos,1.0,0.0,0.0,1.0
1131,lavista,0.0,0.0,130.0,0.0
1132,law,1.0,0.0,0.0,1.0
1133,lawapplyassociate,1.0,0.0,0.0,1.0
1134,lawhybridapplyparalegal,1.0,0.0,0.0,1.0
1135,lawhybridapplysenior,1.0,0.0,0.0,1.0
1136,lawnyc,1.0,0.0,0.0,1.0
1137,laws,3.0,0.0,1.0,3.0
1138,lawsuit,3.0,0.0,0.0,3.0
1139,lawthis,0.0,0.0,1.0,0.0
1140,lead,1.0,0.0,25.0,1.0
1141,leadership,2.0,0.0,0.0,2.0
1142,leading,3.0,0.0,0.0,3.0
1143,learn,20.0,0.0,49.0,20.0
1144,learning,1.0,0.0,0.0,1.0
1145,least,2.0,0.0,100.0,2.0
1146,leaving,5.0,0.0,0.0,5.0
1147,left,9.0,0.0,0.0,9.0
1148,legal,7.0,0.0,0.0,7.0
1149,legally,0.0,0.0,1.0,0.0
1150,length,1.0,0.0,0.0,1.0
1151,lengths,0.0,0.0,1.0,0.0
1152,leroy,0.0,0.0,64.0,0.0
1153,less,1.0,0.0,41.0,1.0
1154,let,40.0,0.0,16.0,40.0
1155,letters,1.0,0.0,0.0,1.0
1156,let’s,1.0,0.0,0.0,1.0
1157,lewis,0.0,0.0,130.0,0.0
1158,life,0.0,0.0,9.0,0.0
1159,like,5.0,0.0,4.0,5.0
1160,likely,0.0,0.0,8.0,0.0
1161,limit,0.0,0.0,1.0,0.0
1162,limitations,0.0,0.0,1.0,0.0
1163,limited,0.0,0.0,1.0,0.0
1164,lincoln,4.0,0.0,130.0,0.0
1165,line,2.0,0.0,0.0,2.0
1166,linear,5.0,0.0,0.0,5.0
1167,link,9.0,0.0,0.0,9.0
1168,linkedin,0.0,0.0,39.0,0.0
1169,links,1.0,0.0,1.0,1.0
1170,linwood,0.0,0.0,130.0,0.0
1171,list,1.0,0.0,0.0,1.0
1172,listo,0.0,0.0,1.0,0.0
1173,lists,0.0,0.0,1.0,0.0
1174,litigation,3.0,0.0,0.0,3.0
1175,little,0.0,0.0,130.0,0.0
1176,live,4.0,0.0,0.0,4.0
1177,lives,1.0,0.0,25.0,1.0
1178,llcif,1.0,0.0,0.0,1.0
1179,load,7.0,0.0,0.0,7.0
1180,loaded,2.0,0.0,0.0,2.0
1181,loading,23.0,0.0,0.0,23.0
1182,loads,4.0,0.0,0.0,4.0
1183,loans,0.0,0.0,1.0,0.0
1184,local,8.0,0.0,65.0,8.0
1185,locale,2.0,0.0,0.0,2.0
1186,locally,2.0,0.0,0.0,2.0
1187,locate,1.0,0.0,0.0,1.0
1188,located,0.0,0.0,50.0,0.0
1189,locating,1.0,0.0,1.0,1.0
1190,location,0.0,0.0,185.0,0.0
1191,locations,2.0,0.0,0.0,2.0
1192,lodash,1.0,0.0,0.0,1.0
1193,log,3.0,0.0,0.0,3.0
1194,logan,0.0,0.0,130.0,0.0
1195,long,5.0,0.0,0.0,5.0
1196,look,4.0,0.0,0.0,4.0
1197,looking,1.0,0.0,0.0,1.0
1198,looks,1.0,0.0,0.0,1.0
1199,lorton,0.0,0.0,130.0,0.0
1200,los,6.0,0.0,0.0,6.0
1201,lou,0.0,0.0,25.0,0.0
1202,louis,3.0,0.0,0.0,3.0
1203,louisiana,0.0,0.0,12.0,0.0
1204,louisville,0.0,0.0,130.0,0.0
1205,love,0.0,0.0,28.0,0.0
1206,loved,0.0,0.0,8.0,0.0
1207,loving,1.0,0.0,0.0,1.0
1208,lower,1.0,0.0,0.0,1.0
1209,luther,1.0,0.0,0.0,1.0
1210,lyons,0.0,0.0,130.0,0.0
1211,macedonia,0.0,0.0,130.0,0.0
1212,made,2.0,0.0,0.0,2.0
1213,magnolia,0.0,0.0,130.0,0.0
1214,mail,14.0,0.0,0.0,14.0
1215,mailchecks,1.0,0.0,0.0,1.0
1216,mailed,3.0,0.0,0.0,3.0
1217,mailinfo,3.0,0.0,0.0,3.0
1218,mailtoggle,1.0,0.0,0.0,1.0
1219,main,53.0,0.0,0.0,53.0
1220,major,2.0,0.0,0.0,2.0
1221,make,13.0,0.0,50.0,13.0
1222,makes,1.0,0.0,1.0,1.0
1223,making,1.0,0.0,0.0,1.0
1224,malcolm,0.0,0.0,130.0,0.0
1225,malmo,0.0,0.0,142.0,0.0
1226,malvern,0.0,0.0,130.0,0.0
1227,manage,1.0,0.0,0.0,1.0
1228,managementnyc,1.0,0.0,0.0,1.0
1229,mandatory,0.0,0.0,1.0,0.0
1230,manilla,0.0,0.0,130.0,0.0
1231,manley,0.0,0.0,130.0,0.0
1232,manning,0.0,0.0,146.0,0.0
1233,many,5.0,0.0,2.0,5.0
1234,map,1.0,0.0,50.0,1.0
1235,mapped,2.0,0.0,0.0,2.0
1236,mappedfalse,2.0,0.0,0.0,2.0
1237,mappedga,1.0,0.0,0.0,1.0
1238,mappedms,1.0,0.0,0.0,1.0
1239,mappedq,2.0,0.0,0.0,2.0
1240,mappedtext,4.0,0.0,0.0,4.0
1241,mappedtrue,2.0,0.0,0.0,2.0
1242,maps,2.0,0.0,0.0,2.0
1243,mar,3.0,0.0,0.0,3.0
1244,market,1.0,0.0,130.0,1.0
1245,marketing,1.0,0.0,0.0,1.0
1246,marketingnew,1.0,0.0,0.0,1.0
1247,marketplace,2.0,0.0,0.0,2.0
1248,marketsource,5.0,0.0,0.0,5.0
1249,marne,0.0,0.0,142.0,0.0
1250,martell,0.0,0.0,130.0,0.0
1251,martin,1.0,0.0,0.0,1.0
1252,mary,0.0,0.0,25.0,0.0
1253,maryland,0.0,0.0,860.0,0.0
1254,master,0.0,0.0,42.0,0.0
1255,masturbation,2.0,0.0,0.0,2.0
1256,match,5.0,0.0,0.0,5.0
1257,materials,1.0,0.0,1.0,1.0
1258,maternal,0.0,0.0,421.0,0.0
1259,matter,6.0,0.0,0.0,6.0
1260,matters,0.0,0.0,1.0,0.0
1261,mau,1.0,0.0,0.0,1.0
1262,may,10.0,0.0,86.0,10.0
1263,mcclelland,0.0,0.0,130.0,0.0
1264,mead,0.0,0.0,130.0,0.0
1265,meal,1.0,0.0,0.0,1.0
1266,mean,1.0,0.0,0.0,1.0
1267,meaning,0.0,0.0,26.0,0.0
1268,meaningful,3.0,0.0,0.0,3.0
1269,means,3.0,0.0,0.0,3.0
1270,measurementsestimated,0.0,0.0,1.0,0.0
1271,measures,1.0,0.0,0.0,1.0
1272,media,2.0,0.0,50.0,2.0
1273,medica,1.0,0.0,0.0,1.0
1274,medicaid,5.0,0.0,0.0,5.0
1275,medical,3.0,0.0,18.0,3.0
