,token,Total0,Total1,Total2,Total3,Total4
1351,determine,0.0,3.0,0.0,0.0,0.0
1352,determined,0.0,1.0,0.0,0.0,0.0
1353,determines,0.0,1.0,0.0,0.0,0.0
1354,develop,0.0,158.0,0.0,0.0,0.0
1355,developed,0.0,1.0,0.0,0.0,0.0
1356,developing,0.0,63.0,0.0,0.0,0.0
1357,development,0.0,8.0,12.0,14.0,14.0
1358,developmentprofessional,0.0,1.0,0.0,0.0,0.0
1359,device,0.0,6.0,1.0,1.0,1.0
1360,devices,0.0,49.0,0.0,0.0,0.0
1361,devoted,0.0,2.0,0.0,0.0,0.0
1362,diabetes,0.0,70.0,0.0,0.0,0.0
1363,diafragma,0.0,0.0,2.0,2.0,2.0
1364,diagnose,0.0,3.0,0.0,0.0,0.0
1365,diagnosed,0.0,5.0,0.0,0.0,0.0
1366,diagnoses,0.0,5.0,0.0,0.0,0.0
1367,diagnoses”,0.0,1.0,0.0,0.0,0.0
1368,diagnosis,0.0,11.0,0.0,0.0,0.0
1369,diagnostic,0.0,12.0,0.0,0.0,0.0
1370,diagnósticas,0.0,2.0,0.0,0.0,0.0
1371,dial,0.0,1.0,0.0,0.0,0.0
1372,diced,0.0,1.0,0.0,0.0,0.0
1373,did,0.0,2.0,3.0,3.0,3.0
1374,die,0.0,1.0,0.0,0.0,0.0
1375,diente,0.0,1.0,0.0,0.0,0.0
1376,diet,0.0,63.0,0.0,0.0,0.0
1377,diferentes,0.0,0.0,1.0,1.0,1.0
1378,differ,0.0,30.0,0.0,0.0,0.0
1379,difference,0.0,5.0,0.0,1.0,1.0
1380,different,0.0,6.0,4.0,4.0,4.0
1381,differentiate,0.0,1.0,0.0,0.0,0.0
1382,differently,0.0,1.0,0.0,0.0,0.0
1383,difficult,0.0,1.0,1.0,1.0,1.0
1384,difficulty,0.0,1.0,0.0,0.0,0.0
1385,digestive,0.0,1.0,0.0,0.0,0.0
1386,digital,0.0,18.0,9.0,9.0,9.0
1387,dijon,0.0,1.0,0.0,0.0,0.0
1388,dinner,0.0,3.0,0.0,0.0,0.0
1389,dinnertime,0.0,1.0,0.0,0.0,0.0
1390,dio,0.0,1.0,0.0,0.0,0.0
1391,direct,0.0,1.0,4.0,4.0,4.0
1392,directed,0.0,1.0,2.0,4.0,4.0
1393,directions,0.0,6.0,2.0,1.0,1.0
1394,directly,0.0,1.0,2.0,3.0,3.0
1395,director,0.0,3.0,2.0,0.0,0.0
1396,directorio,0.0,1.0,0.0,0.0,0.0
1397,directory,0.0,62.0,0.0,0.0,0.0
1398,directorysign,0.0,2.0,0.0,0.0,0.0
1399,disability,0.0,1.0,0.0,0.0,0.0
1400,disable,0.0,0.0,7.0,6.0,6.0
1401,disabled,0.0,11.0,1.0,1.0,1.0
1402,disablestrs,0.0,0.0,1.0,0.0,0.0
1403,disabling,0.0,0.0,1.0,1.0,1.0
1404,disc,0.0,3.0,0.0,0.0,0.0
1405,discharge,0.0,7.0,0.0,0.0,0.0
1406,discipline,0.0,1.0,0.0,0.0,0.0
1407,disclaim,0.0,1.0,0.0,0.0,0.0
1408,disclaimer,0.0,3.0,0.0,0.0,0.0
1409,disclaims,0.0,2.0,0.0,0.0,0.0
1410,disclose,0.0,7.0,0.0,0.0,0.0
1411,disclosure,0.0,3.0,0.0,0.0,0.0
1412,disclosures,0.0,1.0,0.0,0.0,0.0
1413,discoloration,0.0,1.0,0.0,0.0,0.0
1414,discontinuing,0.0,1.0,0.0,0.0,0.0
1415,discounts,0.0,0.0,1.0,0.0,0.0
1416,discover,0.0,1.0,0.0,0.0,0.0
1417,discuss,0.0,2.0,2.0,1.0,1.0
1418,discussed,0.0,1.0,0.0,0.0,0.0
1419,discussion,0.0,1.0,0.0,0.0,0.0
1420,disease,0.0,62.0,0.0,0.0,0.0
1421,diseased,0.0,1.0,0.0,0.0,0.0
1422,diseases,0.0,123.0,0.0,0.0,0.0
1423,diseasevascular,0.0,1.0,0.0,0.0,0.0
1424,disfrute,0.0,1.0,0.0,0.0,0.0
1425,dish,0.0,3.0,0.0,0.0,0.0
1426,dishes,0.0,1.0,0.0,0.0,0.0
1427,dismantles,0.0,1.0,0.0,0.0,0.0
1428,dismiss,0.0,1.0,0.0,0.0,0.0
1429,disorder,0.0,1.0,0.0,0.0,0.0
1430,disorders,0.0,4.0,0.0,0.0,0.0
1431,display,0.0,2.0,9.0,9.0,9.0
1432,displayed,0.0,4.0,0.0,0.0,0.0
1433,disproportionately,0.0,1.0,0.0,0.0,0.0
1434,distancing,0.0,1.0,0.0,0.0,0.0
1435,distinction,0.0,2.0,0.0,0.0,0.0
1436,distinctions,0.0,2.0,0.0,0.0,0.0
1437,distinguish,0.0,1.0,0.0,0.0,0.0
1438,distinguished,0.0,2.0,0.0,0.0,0.0
1439,distress,0.0,1.0,0.0,0.0,0.0
1440,distribution,0.0,1.0,0.0,0.0,0.0
1441,div,0.0,0.0,6.0,6.0,6.0
1442,divan,0.0,2.0,0.0,0.0,0.0
1443,diverse,0.0,1.0,0.0,0.0,0.0
1444,diversity,0.0,34.0,0.0,0.0,0.0
1445,diversitycontact,0.0,3.0,0.0,0.0,0.0
1446,divider,0.0,2.0,0.0,0.0,0.0
1447,diving,0.0,0.0,1.0,1.0,1.0
1448,diy,0.0,3.0,0.0,0.0,0.0
1449,dizzy,0.0,1.0,0.0,0.0,0.0
1450,django,0.0,0.0,1.0,3.0,3.0
1451,doaccepting,0.0,1.0,0.0,0.0,0.0
1452,docasap,0.0,0.0,1.0,1.0,1.0
1453,docs’,0.0,4.0,0.0,0.0,0.0
1454,doctor,0.0,74.0,0.0,0.0,0.0
1455,doctorfind,0.0,1.0,0.0,0.0,0.0
1456,doctorpay,0.0,1.0,0.0,0.0,0.0
1457,doctors,0.0,17.0,0.0,0.0,0.0
1458,document,0.0,3.0,3.0,3.0,3.0
1459,documentation,0.0,2.0,0.0,0.0,0.0
1460,documenting,0.0,1.0,0.0,0.0,0.0
1461,documents,0.0,1.0,0.0,1.0,1.0
1462,does,0.0,28.0,18.0,17.0,17.0
1463,doesn't,0.0,0.0,1.0,1.0,1.0
1464,doesn’t,0.0,3.0,0.0,0.0,0.0
1465,dog,0.0,1.0,0.0,0.0,0.0
1466,doing,0.0,2.0,0.0,0.0,0.0
1467,dollar,0.0,0.0,2.0,2.0,2.0
1468,domestic,0.0,1.0,0.0,0.0,0.0
1469,don't,0.0,1.0,3.0,7.0,7.0
1470,donate,0.0,0.0,19.0,24.0,24.0
1471,donation,0.0,0.0,0.0,1.0,1.0
1472,donations,0.0,0.0,1.0,2.0,2.0
1473,donativo,0.0,2.0,0.0,0.0,0.0
1474,done,0.0,2.0,0.0,0.0,0.0
1475,donna,0.0,2.0,0.0,0.0,0.0
1476,donor,0.0,0.0,14.0,16.0,16.0
1477,donors,0.0,1.0,0.0,0.0,0.0
1478,don’t,0.0,8.0,1.0,3.0,3.0
1479,door,0.0,1.0,0.0,0.0,0.0
1480,doors,0.0,1.0,0.0,0.0,0.0
1481,dose,0.0,0.0,1.0,0.0,0.0
1482,dosis,0.0,2.0,0.0,0.0,0.0
1483,dotted,0.0,2.0,1.0,1.0,1.0
1484,double,0.0,1.0,0.0,0.0,0.0
1485,doubled,0.0,1.0,0.0,0.0,0.0
1486,dough,0.0,1.0,0.0,0.0,0.0
1487,douglas,0.0,2.0,0.0,0.0,0.0
1488,dover,0.0,2.0,0.0,3.0,0.0
1489,down,0.0,9.0,8.0,8.0,8.0
1490,download,0.0,1.0,1.0,0.0,0.0
1491,downloaded,0.0,0.0,1.0,1.0,1.0
1492,downloading,0.0,1.0,0.0,0.0,0.0
1493,downtown,0.0,1.0,0.0,0.0,0.0
1494,drain,0.0,3.0,0.0,0.0,0.0
1495,drastic,0.0,0.0,1.0,1.0,1.0
1496,dream’,0.0,2.0,0.0,0.0,0.0
1497,dress,0.0,1.0,0.0,0.0,0.0
1498,dried,0.0,1.0,0.0,0.0,0.0
1499,drinks,0.0,1.0,0.0,0.0,0.0
1500,drive,0.0,4.0,4.0,0.0,0.0
1501,driver’s,0.0,1.0,0.0,0.0,0.0
1502,driving,0.0,0.0,1.0,1.0,1.0
1503,drizzled,0.0,3.0,0.0,0.0,0.0
1504,drop,0.0,0.0,4.0,4.0,4.0
1505,dropdown,0.0,0.0,4.0,4.0,4.0
1506,dropdowns,0.0,2.0,0.0,0.0,0.0
1507,drops,0.0,1.0,0.0,0.0,0.0
1508,drug,0.0,0.0,2.0,2.0,2.0
1509,drugcheckerurl,0.0,1.0,0.0,0.0,0.0
1510,dry,0.0,2.0,0.0,0.0,0.0
1511,dua,0.0,0.0,1.0,1.0,1.0
1512,duda,0.0,1.0,0.0,0.0,0.0
1513,due,0.0,3.0,3.0,3.0,3.0
1514,duelen,0.0,1.0,0.0,0.0,0.0
1515,durante,0.0,2.0,0.0,0.0,0.0
1516,during,0.0,14.0,3.0,4.0,5.0
1517,duties,0.0,1.0,0.0,0.0,0.0
1518,duty,0.0,3.0,0.0,0.0,0.0
1519,dying,0.0,1.0,0.0,0.0,0.0
1520,dynamic,0.0,3.0,0.0,0.0,0.0
1521,dysfunction,0.0,0.0,2.0,4.0,4.0
1522,déjà,0.0,2.0,0.0,0.0,0.0
1523,día,0.0,3.0,0.0,0.0,0.0
1524,ea's,0.0,0.0,2.0,2.0,2.0
1525,each,0.0,34.0,4.0,4.0,4.0
1526,ear,0.0,1.0,0.0,0.0,0.0
1527,early,0.0,65.0,1.0,0.0,0.0
1528,earned,0.0,6.0,0.0,0.0,0.0
1529,earns,0.0,5.0,0.0,0.0,0.0
1530,earrings,0.0,0.0,1.0,1.0,1.0
1531,ease,0.0,0.0,15.0,15.0,15.0
1532,easier,0.0,3.0,0.0,0.0,0.0
1533,easily,0.0,2.0,1.0,2.0,2.0
1534,east,0.0,4.0,0.0,0.0,0.0
1535,eastern,0.0,2.0,0.0,0.0,0.0
1536,easy,0.0,8.0,0.0,0.0,0.0
1537,eat,0.0,153.0,0.0,0.0,0.0
1538,eating,0.0,5.0,0.0,0.0,0.0
1539,eatoaffiliatemap,0.0,0.0,1.0,1.0,1.0
1540,eats,0.0,1.0,0.0,0.0,0.0
1541,ebrighthealth,0.0,32.0,0.0,0.0,0.0
1542,ecard,0.0,0.0,3.0,3.0,3.0
1543,ecardmessage,0.0,0.0,1.0,1.0,1.0
1544,ecards,0.0,0.0,1.0,1.0,1.0
1545,ecardsection,0.0,0.0,1.0,1.0,1.0
1546,ecardupdate,0.0,0.0,1.0,1.0,1.0
1547,ecardvalidation,0.0,0.0,1.0,1.0,1.0
1548,echoes,0.0,0.0,2.0,2.0,2.0
1549,economic,0.0,2.0,0.0,0.0,0.0
1550,económicas,0.0,1.0,0.0,0.0,0.0
1551,edge,0.0,1.0,0.0,0.0,0.0
1552,edible,0.0,2.0,0.0,0.0,0.0
1553,edit,0.0,1.0,1.0,1.0,1.0
1554,editing,0.0,32.0,0.0,0.0,0.0
1555,editor,0.0,0.0,1.0,1.0,1.0
1556,eds,0.0,0.0,0.0,2.0,2.0
1557,educación,0.0,1.0,0.0,0.0,0.0
1558,educate,0.0,0.0,1.0,1.0,1.0
1559,education,0.0,175.0,3.0,5.0,5.0
1560,educational,0.0,6.0,0.0,0.0,0.0
1561,educationebrighthealth,0.0,1.0,0.0,0.0,0.0
1562,educationphysician,0.0,1.0,0.0,0.0,0.0
1563,educators,0.0,0.0,2.0,4.0,4.0
1564,effective,0.0,4.0,6.0,5.0,5.0
1565,effectively,0.0,2.0,0.0,0.0,0.0
1566,effectiveness,0.0,0.0,2.0,2.0,2.0
1567,effector,0.0,1.0,0.0,0.0,0.0
1568,effects,0.0,1.0,0.0,0.0,0.0
1569,efficiency,0.0,2.0,0.0,0.0,0.0
1570,efficient,0.0,1.0,0.0,0.0,0.0
1571,effort,0.0,1.0,0.0,1.0,1.0
1572,efforts,0.0,2.0,0.0,0.0,0.0
1573,egg,0.0,1.0,0.0,0.0,0.0
1574,eight,0.0,2.0,0.0,0.0,0.0
1575,ein,0.0,0.0,1.0,2.0,2.0
1576,either,0.0,5.0,0.0,0.0,1.0
1577,ejaculating,0.0,0.0,2.0,2.0,2.0
1578,elected,0.0,0.0,2.0,2.0,2.0
1579,elections,0.0,0.0,4.0,4.0,4.0
1580,elective,0.0,2.0,0.0,0.0,0.0
1581,electrical,0.0,1.0,0.0,0.0,0.0
1582,electrician,0.0,1.0,0.0,0.0,0.0
1583,electrocardiogram,0.0,1.0,0.0,0.0,0.0
1584,electronic,0.0,7.0,0.0,0.0,0.0
1585,electrophysiologists,0.0,1.0,0.0,0.0,0.0
1586,electrophysiology,0.0,2.0,0.0,0.0,0.0
1587,elegir,0.0,0.0,1.0,1.0,1.0
1588,element,0.0,0.0,1.0,1.0,1.0
1589,elementary,0.0,1.0,0.0,0.0,0.0
1590,elements,0.0,2.0,1.0,1.0,1.0
1591,elevating,0.0,1.0,0.0,0.0,0.0
1592,eligible,0.0,1.0,0.0,0.0,0.0
1593,eliminate,0.0,2.0,0.0,0.0,0.0
1594,eliminated,0.0,0.0,1.0,1.0,1.0
1595,elkton,0.0,1.0,0.0,0.0,0.0
1596,else,0.0,110.0,78.0,74.0,74.0
1597,email,0.0,6.0,28.0,28.0,28.0
1598,emailerrormsg,0.0,0.0,1.0,1.0,1.0
1599,emailfield,0.0,0.0,1.0,1.0,1.0
1600,emailinfo,0.0,0.0,2.0,2.0,2.0
1601,emailreq,0.0,0.0,1.0,1.0,1.0
1602,emails,0.0,1.0,1.0,1.0,1.0
1603,emailtext,0.0,1.0,0.0,0.0,0.0
1604,emailtoggle,0.0,0.0,1.0,1.0,1.0
1605,embark,0.0,1.0,0.0,0.0,0.0
1606,embarked,0.0,1.0,0.0,0.0,0.0
1607,embed,0.0,1.0,1.0,1.0,1.0
1608,embedded,0.0,2.0,0.0,0.0,0.0
1609,embolizationvascular,0.0,4.0,0.0,0.0,0.0
1610,emergencia,0.0,0.0,2.0,2.0,2.0
1611,emergency,0.0,83.0,2.0,6.0,6.0
1612,emiratesunited,0.0,1.0,0.0,0.0,0.0
1613,emotional,0.0,2.0,0.0,0.0,0.0
1614,empleos,0.0,3.0,0.0,0.0,0.0
1615,employ,0.0,1.0,0.0,0.0,0.0
1616,employee,0.0,2.0,0.0,0.0,0.0
1617,employeesnursing,0.0,1.0,0.0,0.0,0.0
1618,employer,0.0,0.0,0.0,1.0,1.0
1619,employers,0.0,5.0,0.0,0.0,0.0
1620,employment,0.0,1.0,0.0,0.0,0.0
1621,empower,0.0,0.0,0.0,1.0,1.0
1622,empowered,0.0,1.0,0.0,0.0,0.0
1623,empty,0.0,0.0,7.0,7.0,7.0
1624,enable,0.0,2.0,3.0,3.0,3.0
1625,enabled,0.0,2.0,3.0,2.0,2.0
1626,enables,0.0,1.0,0.0,0.0,0.0
1627,enabling,0.0,1.0,0.0,0.0,0.0
1628,encodedtweet,0.0,0.0,2.0,2.0,2.0
1629,encontrar,0.0,0.0,1.0,1.0,1.0
1630,encourage,0.0,92.0,0.0,0.0,0.0
1631,encouraged,0.0,1.0,0.0,0.0,0.0
1632,encuentre,0.0,2.0,0.0,0.0,0.0
1633,end,0.0,5.0,7.0,6.0,6.0
1634,endarterectomy,0.0,1.0,0.0,0.0,0.0
1635,ending,0.0,0.0,1.0,0.0,0.0
1636,endlessly,0.0,1.0,0.0,0.0,0.0
1637,endocrinologist,0.0,1.0,0.0,0.0,0.0
1638,endocrinology,0.0,1.0,0.0,0.0,0.0
1639,endorse,0.0,0.0,1.0,1.0,1.0
1640,endoscopy,0.0,1.0,0.0,0.0,0.0
1641,endovascular,0.0,1.0,0.0,0.0,0.0
1642,endowed,0.0,1.0,0.0,0.0,0.0
1643,ends,0.0,1.0,0.0,0.0,0.0
1644,endurance,0.0,1.0,0.0,0.0,0.0
1645,enfermeros,0.0,1.0,0.0,0.0,0.0
1646,enforcement,0.0,1.0,0.0,0.0,0.0
1647,engagement,0.0,2.0,7.0,7.0,7.0
1648,england,0.0,0.0,7.0,7.0,7.0
1649,english,0.0,63.0,0.0,0.0,0.0
1650,enhanced,0.0,3.0,0.0,0.0,0.0
1651,enhancements,0.0,2.0,0.0,0.0,0.0
1652,enhances,0.0,1.0,0.0,0.0,0.0
1653,enjoy,0.0,3.0,0.0,0.0,0.0
1654,enjoyment,0.0,1.0,0.0,0.0,0.0
1655,enjoys,0.0,1.0,0.0,0.0,0.0
1656,enlarged,0.0,1.0,0.0,0.0,0.0
1657,enough,0.0,4.0,1.0,1.0,1.0
1658,enroll,0.0,0.0,0.0,1.0,1.0
1659,enrollment,0.0,31.0,0.0,2.0,2.0
1660,enseñó,0.0,2.0,0.0,0.0,0.0
1661,ensure,0.0,5.0,3.0,2.0,2.0
1662,ent,0.0,1.0,0.0,0.0,0.0
1663,enter,0.0,2.0,4.0,10.0,10.0
1664,entered,0.0,1.0,0.0,0.0,1.0
1665,entering,0.0,1.0,0.0,0.0,0.0
1666,enterprise,0.0,1.0,0.0,0.0,0.0
1667,entire,0.0,4.0,0.0,0.0,0.0
1668,environment,0.0,1.0,0.0,0.0,0.0
1669,environmental,0.0,1.0,0.0,0.0,0.0
1670,environments,0.0,1.0,0.0,0.0,0.0
1671,epidemic,0.0,2.0,0.0,0.0,0.0
1672,epidural,0.0,1.0,0.0,0.0,0.0
1673,epinephrine,0.0,2.0,0.0,0.0,0.0
1674,episode,0.0,1.0,0.0,0.0,0.0
1675,epley,0.0,1.0,0.0,0.0,0.0
1676,equal,0.0,0.0,0.0,1.0,1.0
1677,equery,0.0,1.0,0.0,0.0,0.0
1678,equipment,0.0,1.0,0.0,1.0,1.0
1679,equitable,0.0,2.0,0.0,0.0,0.0
1680,equity,0.0,6.0,3.0,3.0,3.0
1681,error,0.0,1.0,22.0,26.0,26.0
1682,error',0.0,0.0,1.0,1.0,1.0
1683,errorcheck,0.0,0.0,1.0,3.0,3.0
1684,esas,0.0,1.0,0.0,0.0,0.0
1685,esophagus,0.0,1.0,0.0,0.0,0.0
1686,español,0.0,129.0,5.0,7.0,7.0
1687,españolchristiana,0.0,1.0,0.0,0.0,0.0
1688,especially,0.0,2.0,0.0,0.0,0.0
1689,especias,0.0,1.0,0.0,0.0,0.0
1690,espera,0.0,1.0,0.0,0.0,0.0
1691,esperar,0.0,2.0,0.0,0.0,0.0
1692,essential,0.0,0.0,0.0,1.0,1.0
1693,esta,0.0,4.0,0.0,0.0,0.0
1694,estilo,0.0,1.0,0.0,0.0,0.0
1695,estimated,0.0,2.0,0.0,0.0,0.0
1696,estimates,0.0,1.0,0.0,0.0,0.0
1697,estoppel,0.0,1.0,0.0,0.0,0.0
1698,estrogen,0.0,1.0,0.0,0.0,0.0
1699,está,0.0,2.0,0.0,0.0,0.0
1700,estás,0.0,0.0,1.0,1.0,1.0
1701,ethnic,0.0,1.0,0.0,0.0,0.0
1702,eugene,0.0,1.0,0.0,0.0,0.0
1703,eur,0.0,0.0,2.0,2.0,2.0
1704,euro,0.0,0.0,2.0,2.0,2.0
1705,eustatius,0.0,1.0,0.0,0.0,0.0
1706,evaluaciones,0.0,2.0,0.0,0.0,0.0
1707,evaluate,0.0,1.0,0.0,0.0,0.0
1708,evaluated,0.0,2.0,0.0,0.0,0.0
1709,evaluating,0.0,1.0,0.0,0.0,0.0
1710,evaluation,0.0,94.0,0.0,0.0,0.0
1711,evaluations,0.0,1.0,0.0,0.0,0.0
1712,even,0.0,11.0,1.0,1.0,1.0
1713,evening,0.0,1.0,0.0,0.0,0.0
1714,event,0.0,11.0,6.0,6.0,6.0
1715,events,0.0,51.0,3.0,6.0,6.0
1716,eventsprofessional,0.0,1.0,0.0,0.0,0.0
1717,ever,0.0,2.0,0.0,0.0,0.0
1718,evergreen,0.0,0.0,1.0,1.0,1.0
1719,every,0.0,23.0,2.0,3.0,3.0
1720,everyaction,0.0,0.0,1.0,1.0,1.0
1721,everyday,0.0,1.0,0.0,0.0,0.0
1722,everyone,0.0,5.0,2.0,2.0,2.0
1723,everything,0.0,33.0,1.0,3.0,3.0
1724,evp,0.0,0.0,5.0,5.0,5.0
1725,exactly,0.0,31.0,0.0,0.0,0.0
1726,exam,0.0,0.0,0.0,1.0,2.0
1727,examination,0.0,1.0,0.0,0.0,0.0
1728,example,0.0,2.0,0.0,0.0,0.0
1729,exceeds,0.0,1.0,0.0,0.0,0.0
1730,excellence,0.0,9.0,0.0,0.0,0.0
1731,excellenceview,0.0,2.0,0.0,0.0,0.0
1732,excellent,0.0,4.0,0.0,0.0,0.0
1733,except,0.0,4.0,4.0,4.0,4.0
1734,excepted,0.0,0.0,1.0,1.0,1.0
1735,exceptional,0.0,4.0,0.0,1.0,1.0
1736,excess,0.0,1.0,0.0,0.0,0.0
1737,exchanges,0.0,0.0,1.0,1.0,1.0
1738,excited,0.0,1.0,0.0,0.0,0.0
1739,excluded,0.0,62.0,2.0,2.0,2.0
1740,exclusion,0.0,2.0,0.0,0.0,0.0
1741,exclusive,0.0,0.0,1.0,1.0,1.0
1742,exclusively,0.0,1.0,0.0,0.0,0.0
1743,execution,0.0,1.0,0.0,0.0,0.0
1744,executive,0.0,0.0,2.0,0.0,0.0
1745,executives,0.0,1.0,0.0,0.0,0.0
1746,exempt,0.0,31.0,0.0,0.0,0.0
1747,exercise,0.0,6.0,0.0,0.0,0.0
1748,exercises,0.0,6.0,0.0,0.0,0.0
1749,exercising,0.0,1.0,0.0,0.0,0.0
1750,exhausted,0.0,1.0,0.0,0.0,0.0
1751,exhaustion,0.0,1.0,0.0,0.0,0.0
1752,exist,0.0,0.0,1.0,0.0,0.0
1753,existing,0.0,6.0,2.0,2.0,2.0
1754,exists,0.0,0.0,1.0,3.0,3.0
1755,expand,0.0,2.0,0.0,0.0,0.0
1756,expanded,0.0,5.0,0.0,0.0,0.0
1757,expansion,0.0,1.0,1.0,1.0,1.0
1758,expect,0.0,2.0,0.0,1.0,1.0
1759,expectancy,0.0,1.0,0.0,0.0,0.0
1760,expected,0.0,1.0,1.0,1.0,1.0
1761,expecting,0.0,1.0,0.0,0.0,0.0
1762,expedientes,0.0,1.0,0.0,0.0,0.0
1763,expedite,0.0,2.0,0.0,0.0,0.0
1764,experience,0.0,33.0,2.0,3.0,3.0
1765,experienced,0.0,2.0,0.0,0.0,0.0
1766,experiences,0.0,2.0,0.0,0.0,0.0
1767,experiencing,0.0,2.0,0.0,0.0,0.0
1768,experiment,0.0,1.0,0.0,0.0,0.0
1769,expert,0.0,3.0,1.0,1.0,1.0
1770,experts,0.0,35.0,3.0,5.0,5.0
1771,expertspreventing,0.0,1.0,0.0,0.0,0.0
1772,expiresess,0.0,0.0,1.0,1.0,1.0
1773,explicitly,0.0,0.0,1.0,1.0,1.0
1774,explore,0.0,1.0,1.0,0.0,0.0
1775,explorer,0.0,1.0,0.0,0.0,0.0
1776,exploring,0.0,1.0,0.0,0.0,0.0
1777,explosion,0.0,0.0,1.0,1.0,1.0
1778,expo,0.0,1.0,0.0,0.0,0.0
1779,expoaccess,0.0,1.0,0.0,0.0,0.0
1780,exposed,0.0,1.0,0.0,0.0,0.0
1781,express,0.0,9.0,0.0,0.0,0.0
1782,expressed,0.0,1.0,0.0,0.0,0.0
1783,expressly,0.0,1.0,0.0,0.0,0.0
1784,extend,0.0,1.0,0.0,0.0,0.0
1785,extended,0.0,1.0,0.0,0.0,0.0
1786,extends,0.0,1.0,0.0,0.0,0.0
1787,extensions,0.0,1.0,0.0,0.0,0.0
1788,extent,0.0,0.0,7.0,8.0,8.0
1789,exterior,0.0,1.0,0.0,0.0,0.0
1790,extra,0.0,31.0,1.0,0.0,0.0
1791,extract,0.0,1.0,0.0,0.0,0.0
1792,extraordinary,0.0,2.0,0.0,0.0,0.0
1793,extremely,0.0,3.0,0.0,0.0,0.0
1794,eye,0.0,4.0,0.0,0.0,0.0
1795,eyedrops,0.0,2.0,0.0,0.0,0.0
1796,face,0.0,3.0,0.0,0.0,0.0
1797,facebook,0.0,59.0,4.0,6.0,6.0
1798,facebookenglish,0.0,0.0,1.0,1.0,1.0
1799,facebookpost,0.0,1.0,0.0,0.0,0.0
1800,facebooktweetpost,0.0,1.0,0.0,0.0,0.0
1801,facebookyou,0.0,0.0,1.0,1.0,1.0
1802,facilitate,0.0,1.0,0.0,0.0,0.0
1803,facilities,0.0,71.0,0.0,0.0,0.0
1804,facilitiesour,0.0,1.0,0.0,0.0,0.0
1805,facility,0.0,11.0,0.0,0.0,0.0
1806,facing,0.0,1.0,0.0,0.0,0.0
1807,fact,0.0,23.0,0.0,0.0,0.0
1808,factor,0.0,2.0,0.0,0.0,0.0
1809,factors,0.0,7.0,0.0,0.0,0.0
1810,facts,0.0,0.0,4.0,4.0,4.0
1811,faculty,0.0,2.0,0.0,0.0,0.0
1812,fadein,0.0,0.0,4.0,4.0,4.0
1813,fadeout,0.0,0.0,4.0,4.0,4.0
1814,failed,0.0,0.0,1.0,1.0,1.0
1815,failure,0.0,38.0,0.0,0.0,0.0
1816,fair,0.0,5.0,1.0,1.0,1.0
1817,faire,0.0,2.0,0.0,0.0,0.0
1818,fairs,0.0,1.0,0.0,0.0,0.0
1819,fall,0.0,5.0,0.0,0.0,0.0
1820,falls,0.0,2.0,0.0,0.0,0.0
1821,false,0.0,2.0,1.0,1.0,1.0
1822,familia,0.0,1.0,0.0,0.0,0.0
1823,familias,0.0,2.0,0.0,0.0,0.0
1824,families,0.0,9.0,0.0,0.0,0.0
1825,family,0.0,35.0,0.0,2.0,2.0
1826,faq,0.0,2.0,2.0,3.0,3.0
1827,farm,0.0,1.0,0.0,0.0,0.0
1828,farmers,0.0,1.0,0.0,0.0,0.0
1829,farmer’s,0.0,1.0,0.0,0.0,0.0
1830,farro,0.0,2.0,0.0,0.0,0.0
1831,fasoburundicabo,0.0,1.0,0.0,0.0,0.0
1832,fast,0.0,0.0,1.0,1.0,1.0
1833,faster,0.0,1.0,0.0,0.0,0.0
1834,fat,0.0,61.0,0.0,0.0,0.0
1835,fatty,0.0,2.0,0.0,0.0,0.0
1836,favorite,0.0,2.0,0.0,0.0,0.0
1837,feasibility,0.0,1.0,0.0,0.0,0.0
1838,feature,0.0,10.0,0.0,0.0,0.0
1839,featured,0.0,1.0,1.0,1.0,1.0
1840,features,0.0,5.0,0.0,0.0,0.0
1841,featuresnfl,0.0,0.0,1.0,1.0,1.0
1842,featuring,0.0,0.0,2.0,2.0,2.0
1843,february,0.0,16.0,0.0,0.0,0.0
1844,federal,0.0,32.0,8.0,8.0,8.0
1845,federation,0.0,0.0,10.0,12.0,12.0
1846,fee,0.0,0.0,0.0,1.0,1.0
1847,feed,0.0,2.0,0.0,0.0,0.0
1848,feedback,0.0,32.0,0.0,0.0,0.0
1849,feeding,0.0,1.0,0.0,0.0,0.0
1850,feeds,0.0,11.0,0.0,0.0,0.0
1851,feel,0.0,7.0,3.0,3.0,3.0
1852,feeling,0.0,5.0,0.0,0.0,0.0
1853,feels,0.0,2.0,0.0,0.0,0.0
1854,feet,0.0,1.0,0.0,0.0,0.0
1855,fellows,0.0,1.0,0.0,0.0,0.0
1856,fellowship,0.0,7.0,0.0,0.0,0.0
1857,fellowships,0.0,36.0,0.0,0.0,0.0
1858,female,0.0,1.0,2.0,2.0,2.0
1859,feminism,0.0,0.0,1.0,1.0,1.0
1860,feminist,0.0,0.0,1.0,1.0,1.0
1861,fennel,0.0,1.0,0.0,0.0,0.0
1862,festive,0.0,1.0,0.0,0.0,0.0
1863,feta,0.0,1.0,0.0,0.0,0.0
1864,fetal,0.0,1.0,0.0,0.0,0.0
1865,few,0.0,4.0,0.0,0.0,0.0
1866,fiber,0.0,3.0,0.0,0.0,0.0
1867,fibrillation,0.0,2.0,0.0,0.0,0.0
1868,fibroid,0.0,4.0,0.0,0.0,0.0
